phone,screen_size,paresed_price,announced_year,length_mm,width_mm,depth_mm,weight_oz,screen ratio,touchscreen,total_pixels,card_slot,battery_size,bluetooth_m,fast_chaging_power,SAR_EU_head,storage,lens_count,removable_B_Removable,cores_hexa,cores_octa,cores_quad,cores_single,gpu_manufacturer_Broadcom,gpu_manufacturer_Mali,gpu_manufacturer_NO,gpu_manufacturer_PowerVR,gpu_manufacturer_ULP,gpu_manufacturer_Vivante,wlan_ac,wlan_ax,wlan_g,wlan_n,network_g_4g,network_g_5g,network_g_nan
Galaxy On7 Pro,5.5,150,2016,152.0,78.0,8.0,6.07,0.703,1,921600.0,1,3000.0,4,0,0.38,16384.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy On5 Pro,5.0,120,2016,142.3,72.1,8.5,5.26,0.672,1,921600.0,1,2600.0,4,0,0.4,16384.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy J2 Pro (2016),5.0,140,2016,142.4,71.1,8.0,4.87,0.6809999999999999,1,921600.0,1,2600.0,4,0,0.59,16384.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy J2 (2016),5.0,120,2016,142.4,71.1,8.0,4.87,0.6809999999999999,1,921600.0,1,2600.0,4,0,0.59,8192.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy Xcover 3 G389F,4.5,200,2016,132.9,70.1,10.0,5.43,0.619,1,384000.0,1,2200.0,4,0,0.78,8192.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy S7 active,5.1,360,2016,148.8,74.9,9.9,6.53,0.643,1,3686400.0,1,4000.0,4,1,0.32,32768.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy J3 Pro,5.0,130,2016,142.2,71.3,8.0,4.9,0.68,1,921600.0,1,2600.0,4,0,0.43,16384.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy C7,5.7,250,2016,156.6,77.2,6.8,5.96,0.741,1,2073600.0,1,3300.0,4,1,0.5218382352941175,65536.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy C5,5.2,220,2016,145.9,72.0,6.7,5.04,0.71,1,2073600.0,1,2600.0,4,1,0.45,65536.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy A9 Pro (2016),6.0,300,2016,161.7,80.9,7.9,7.41,0.759,1,2073600.0,1,5000.0,4,1,0.62,32768.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy J7 (2016),5.5,230,2016,151.7,76.0,7.8,6.0,0.723,1,921600.0,1,3300.0,4,0,0.35,16384.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy J5 (2016),5.2,190,2016,145.8,72.3,8.1,5.61,0.7070000000000001,1,921600.0,1,3100.0,4,0,0.45,16384.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy S7,5.1,300,2016,142.4,69.6,7.9,5.36,0.721,1,3686400.0,1,3000.0,4,1,0.41,65536.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy S7 edge,5.5,340,2016,150.9,72.6,7.7,5.54,0.7609999999999999,1,3686400.0,1,3600.0,4,1,0.26,131072.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy S7 edge (USA),5.5,350,2016,150.9,72.6,7.7,5.54,0.7609999999999999,1,3686400.0,1,3600.0,4,1,0.5218382352941175,32768.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy S7 (USA),5.1,320,2016,142.4,69.6,7.9,5.36,0.723,1,3686400.0,1,3000.0,4,1,0.5218382352941175,32768.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy J1 Nxt,4.0,90,2016,126.6,63.1,10.8,4.34,0.57,1,384000.0,1,1500.0,4,0,0.76,8192.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Galaxy J1 (2016),4.5,130,2016,132.6,69.3,8.9,4.62,0.627,1,384000.0,1,2050.0,4,0,0.7,8192.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy A9 (2016),6.0,200,2015,161.7,80.9,7.4,7.05,0.759,1,2073600.0,1,4000.0,4,1,0.18,32768.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy A7 (2016),5.5,190,2015,151.5,74.1,7.3,6.07,0.743,1,2073600.0,1,3300.0,4,1,0.41,16384.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy A5 (2016),5.2,160,2015,144.8,71.0,7.3,5.47,0.725,1,2073600.0,1,2900.0,4,1,0.29,16384.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy A3 (2016),4.7,130,2015,134.5,65.2,7.3,4.66,0.6940000000000001,1,921600.0,1,2300.0,4,0,0.49,16384.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy Express Prime,5.0,110,2016,142.2,71.1,7.9,4.9,0.682,1,921600.0,1,2600.0,4,0,0.5218382352941175,16384.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy J3 (2016),5.0,120,2015,142.3,71.0,7.9,4.87,0.682,1,921600.0,1,2600.0,4,0,0.48,16384.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy On7,5.5,180,2015,151.8,77.5,8.2,6.07,0.7090000000000001,1,921600.0,1,3000.0,4,0,0.38,8192.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy On5,5.0,140,2015,142.3,72.1,8.5,5.26,0.7,1,921600.0,1,2600.0,4,0,0.4,8192.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
