,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,3.5mm jack,WLAN,Bluetooth,GPS,USB,Sensors,,SAR EU,Price,Features,NFC,Protection,Triple,Charging,SAR,5G,Quad,Dual,Performance,Display,Camera,Audio quality,GPRS,EDGE,Infrared port,removable_B
Galaxy Ace 2 I8160,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 14.4/5.76 Mbps,"2012, February. Released 2012, May",Discontinued,118.3 x 62.2 x 10.5 mm (4.66 x 2.45 x 0.41 in),122 g (4.30 oz),,Mini-SIM,"PLS TFT capacitive touchscreen, 16M colors","3.8 inches, 41.1 cm2 (~55.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~246 ppi density)","Android 2.3 (Gingerbread), upgradable to 4.1.2 (Jelly Bean); TouchWiz UI 4",NovaThor U8500,Dual-core 800 MHz,Mali-400,"microSD, up to 32 GB (dedicated slot)","4 GB, 768 MB RAM",VGA,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS, GLONASS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,0.50 W/kg (head),About 130 EUR,LED flash,Optional,,,,0.52 W/kg (head) 0.76 W/kg (body),,,,,Contrast ratio: 843 (nominal) / 1.566:1 (sunlight),Photo / Video,Noise -88.7dB / Crosstalk -88.9dB,,,,Removable
Galaxy mini 2 S6500,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 7.2/0.384 Mbps,"2012, February. Released 2012, March",Discontinued,109.4 x 58.6 x 11.6 mm (4.31 x 2.31 x 0.46 in),105.3 g (3.70 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.27 inches, 31.8 cm2 (~49.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~176 ppi density)",Android 2.3.6 (Gingerbread),Qualcomm MSM7227A Snapdragon S1,800 MHz Cortex-A5,Adreno 200,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",3.15 MP,480p@25fps,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1300 mAh battery,0.92 W/kg (head) 0.62 W/kg (body),About 90 EUR,,Optional,,,,,,,,,Contrast ratio: 1.114:1 (sunlight),Photo,Noise -85.9dB / Crosstalk -80.5dB,,,,Removable
Galaxy Ace Duos I589,GSM / CDMA / EVDO,CDMA 800 / 1900,CDMA2000 1xEV-DO,,EV-DO Rev.A 3.1 Mbps,"2012, February. Released 2012, February",Discontinued,112.4 x 59.9 x 12.5 mm (4.43 x 2.36 x 0.49 in),125 g (4.41 oz),,Mini-SIM,"TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm2 (~54.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 2.2 (Froyo),Qualcomm MSM7627,800 MHz,,"microSD, up to 32 GB (dedicated slot)",,3.15 MP,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1650 mAh battery,0.23 W/kg (head),About 130 EUR,,,,,,0.43 W/kg (head) 0.73 W/kg (body),,,,,,,,,,,Removable
Galaxy Pop Plus S5570i,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 7.2/0.384 Mbps,"2012, February. Released 2012, February",Discontinued,110.4 x 60.6 x 12.1 mm (4.35 x 2.39 x 0.48 in),106.6 g (3.74 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.14 inches, 30.5 cm2 (~45.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~127 ppi density)","Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",Qualcomm MSM7227 Snapdragon S1,832 MHz ARMv6,Adreno 200,"microSD, up to 32 GB (dedicated slot), 2 GB included","160 MB, 384 MB RAM",3.15 MP,320p@15fps,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1200 mAh battery,0.83 W/kg (head),About 100 EUR,,,,,,0.72 W/kg (head) 0.74 W/kg (body),,,,,,,,,,,Removable
Galaxy Tab 2 7.0 P3110,No cellular connectivity,,,,,"2012, February. Released 2012, May",Discontinued,193.7 x 122.4 x 10.5 mm (7.63 x 4.82 x 0.41 in),344 g (12.13 oz),,No,"PLS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~58.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Android 4.0.3 (Ice Cream Sandwich), upgradable to 4.2.2 (Jelly Bean); TouchWiz UX UI",TI OMAP 4430,Dual-core 1.0 GHz,PowerVR SGX540,"microSD, up to 64 GB (dedicated slot)","8/16/32 GB, 1 GB RAM",VGA,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","3.0, A2DP",Yes; GLONASS,"2.0, USB Host","Accelerometer, gyro, compass",Non-removable Li-Ion 4000 mAh battery,0.63 W/kg (head),About 150 EUR,,,,,,,,,,,,,,No,No,,Non-removable
Galaxy Tab 2 7.0 P3100,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100 - GT-P3100,,HSPA 21.1/5.76 Mbps,"2012, February. Released 2012, April",Discontinued,193.7 x 122.4 x 10.5 mm (7.63 x 4.82 x 0.41 in),345 g (12.17 oz),,Mini-SIM,"PLS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~58.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Android 4.0.3 (Ice Cream Sandwich), upgradable to 4.2.2 (Jelly Bean); TouchWiz UX UI",TI OMAP 4430,Dual-core 1.0 GHz,PowerVR SGX540,"microSD, up to 32 GB (dedicated slot)","8/16/32 GB, 1 GB RAM",VGA,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","3.0, A2DP","Yes, with A-GPS, GLONASS","2.0, USB Host","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery,0.71 W/kg (head),About 150 EUR,,,,,,,,,,,,,,,,,Non-removable
I9070 Galaxy S Advance,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,,HSPA 14.4/5.76 Mbps,"2012, January. Released 2012, April",Discontinued,123.2 x 63 x 9.7 mm (4.85 x 2.48 x 0.38 in),120 g (4.23 oz),,Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~58.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Android 2.3.6 (Gingerbread), upgradable to 4.1.2 (Jelly Bean); TouchWiz UI 4",NovaThor U8500,Dual-core 1.0 GHz Cortex-A9,Mali-400,"microSD, up to 32 GB (dedicated slot)","8/16 GB, 768 MB RAM",1.3 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","3.0, A2DP, aptX","Yes, with A-GPS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 1500 mAh battery,0.54 W/kg (head),About 150 EUR,LED flash,Optional,,,,0.37 W/kg (head) 0.98 W/kg (body),,,,,Contrast ratio: Infinite (nominal),Photo / Video,Noise -88.6dB / Crosstalk -88.0dB,,,,Removable
C3312 Duos,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"2012, January. Released 2012, January",Discontinued,102 x 55 x 12 mm (4.02 x 2.17 x 0.47 in),100 g (3.53 oz),,"Dual SIM (Mini-SIM, dual stand-by)","TFT touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~43.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Android 2.3 (Gingerbread); TouchWiz Lite UI,,,,"microSD, up to 16 GB (dedicated slot)",30 MB,1.3 MP,Yes,Yes,No,"3.0, A2DP, EDR",No,microUSB 2.0,Accelerometer,Removable Li-Ion 1000 mAh battery,0.88 W/kg (head),About 70 EUR,,,,,,0.72 W/kg (head) 0.35 W/kg (body),,,,,,,,Yes,Yes,,Removable
Star 3 s5220,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2012, January. Released 2012, April",Discontinued,102 x 58 x 11.5 mm (4.02 x 2.28 x 0.45 in),95 g (3.35 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.0 inches, 27.9 cm2 (~47.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~133 ppi density)",,,,,"microSD, up to 32 GB (dedicated slot)",20 MB,3.15 MP,QCIF@15fps,Yes,Wi-Fi 802.11 b/g/n,"3.0, A2DP",No,microUSB 2.0,Accelerometer,Removable Li-Ion 1000 mAh battery,0.78 W/kg (head),About 90 EUR,,,,,,0.79 W/kg (head) 0.61 W/kg (body),,,,,,,,Yes,Class 12,,Removable
Star 3 Duos S5222,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,"2012, January. Released 2012, February",Discontinued,102 x 58 x 11.5 mm (4.02 x 2.28 x 0.45 in),95.5 g (3.35 oz),,"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","3.0 inches, 27.9 cm2 (~47.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~133 ppi density)",,,,,"microSD, up to 32 GB (dedicated slot)",20 MB,3.15 MP,QCIF@15fps,Yes,Wi-Fi 802.11 b/g/n,"3.0, A2DP",No,microUSB 2.0,,Removable Li-Ion 1000 mAh battery,0.66 W/kg (head),About 90 EUR,,,,,,0.74 W/kg (head) 0.85 W/kg (body),,,,,,,,Yes,Class 12,,Removable
Galaxy Nexus I9250M,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2012, January. Released 2012, January",Discontinued,135.5 x 67.9 x 8.9 mm (5.33 x 2.67 x 0.35 in),135 g (4.76 oz),,Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.65 inches, 59.6 cm2 (~64.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~316 ppi density)",Android 4.0 (Ice Cream Sandwich),TI OMAP 4460,Dual-core 1.2 GHz Cortex-A9,PowerVR SGX540,No,"16, 1 GB RAM",1.3 MP,720p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0 (MHL TV-out),"Accelerometer, gyro, proximity, compass, barometer",Removable Li-Ion 1750 mAh battery,0.35 W/kg (head),About 240 EUR,LED flash,Yes,Oleophobic coating,,,0.40 W/kg (head) 0.74 W/kg (body),,,,,,,,,,,Removable
Galaxy Attain 4G,CDMA / EVDO / LTE,CDMA 800 / 1900,CDMA2000 1xEV-DO,"LTE band 2(1900), 4(1700/2100)","EV-DO Rev.A 3.1 Mbps, LTE","2012, January. Released 2012, February",Discontinued,113.1 x 60.5 x 11.7 mm (4.45 x 2.38 x 0.46 in),119.1 g (4.20 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~53.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 2.3 (Gingerbread),,1.0 GHz,,"microSD, up to 32 GB (dedicated slot)",512 MB RAM,1.3 MP,,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1650 mAh battery,1.35 W/kg (head),About 100 EUR,,,,,,0.78 W/kg (head) 0.91 W/kg (body),,,,,,,,,,,Removable
Galaxy S Blaze 4G T769,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700 / 1900 / 2100,,HSPA 42.2/5.76 Mbps,"2012, January. Released 2012, March",Discontinued,121.9 x 63 x 11.2 mm (4.80 x 2.48 x 0.44 in),127.6 g (4.48 oz),,Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","3.97 inches, 44.9 cm2 (~58.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~235 ppi density)",Android 2.3.6 (Gingerbread),Qualcomm MSM8260 Snapdragon S3,Dual-core 1.5 GHz Scorpion,Adreno 220,"microSD, up to 32 GB (dedicated slot), 4 GB included","3 GB internal, 1 GB RAM",1.3 MP,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 1750 mAh battery,,About 140 EUR,LED flash,Yes,,,,0.69 W/kg (head),,,,,,,,,,,Removable
Galaxy Tab 7.7 LTE I815,CDMA / EVDO / LTE,CDMA 800 / 1900,CDMA2000 1xEV-DO,"LTE band 2(1900), 5(850), 13(700)","EV-DO Rev.A 3.1 Mbps, LTE","2012, January. Released 2012, Q3",Discontinued,196.6 x 133.1 x 7.9 mm (7.74 x 5.24 x 0.31 in),340.2 g (11.99 oz),,Mini-SIM,"Super AMOLED Plus capacitive touchscreen, 16M colors","7.7 inches, 171.9 cm2 (~65.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~196 ppi density)",Android 3.2 (Honeycomb),Exynos 4210,Dual-core 1.4 GHz Cortex-A9,Mali-400MP4,"microSD, up to 32 GB (dedicated slot)","16/32 GB, 1 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",2.0,"Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 5100 mAh battery,,About 280 EUR,LED flash,,Corning Gorilla Glass,,,1.09 W/kg (body),,,,,,,,,,,Non-removable
Galaxy Nexus LTE L700,CDMA / EVDO / LTE,CDMA 800 / 1900,CDMA2000 1xEV-DO,LTE band 25(1900),"EV-DO Rev.A 3.1 Mbps, LTE","2012, January. Released 2012, April",Discontinued,134.6 x 68.6 x 9.4 mm (5.30 x 2.70 x 0.37 in),144.5 g (5.08 oz),,Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.65 inches, 59.6 cm2 (~64.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~316 ppi density)",Android 4.0 (Ice Cream Sandwich),TI OMAP 4460,Dual-core 1.2 GHz,,No,"32 GB, 1 GB RAM",1.3 MP,720p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, gyro, proximity, compass, barometer",Removable Li-Ion 1850 mAh battery,,About 270 EUR,LED flash,Yes,Scratch-resistant glass,,,1.04 W/kg (head) 1.41 W/kg (body),,,,,,,,,,,Removable
Exhilarate i577,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"LTE band 4(1700/2100), 17(700)","HSPA 21.1/5.76 Mbps, LTE","2012, January. Released 2012, June",Discontinued,122 x 63 x 12 mm (4.80 x 2.48 x 0.47 in),130 g (4.59 oz),,Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~59.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 2.3.6 (Gingerbread),,Dual-core 1.2 GHz,,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM",1.3 MP,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1750 mAh battery,,About 240 EUR,,,,,,0.96 W/kg (head) 0.94 W/kg (body),,,,,,,,,,,Removable
Galaxy S II Skyrocket HD I757,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"LTE band 4(1700/2100), 17(700)","HSPA 21.1/5.76 Mbps, LTE","2012, January",Discontinued,-,-,,Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.65 inches, 59.6 cm2","720 x 1280 pixels, 16:9 ratio (~316 ppi density)",Android 2.3.5 (Gingerbread),,Dual-core 1.5 GHz,,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","3.0, A2DP, aptX","Yes, with A-GPS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion battery,0.30 W/kg (head),About 430 EUR,LED flash,Yes,Corning Gorilla Glass,,,0.43 W/kg (head) 0.77 W/kg (body),,,,,,,,,,,Removable
Galaxy Note T879,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700 / 1900 / 2100,,HSPA 42.2/5.76 Mbps,"2012, March. Released 2012, August",Discontinued,146.8 x 83.1 x 9.7 mm (5.78 x 3.27 x 0.38 in),180 g (6.35 oz),,Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.3 inches, 81.4 cm2 (~66.8% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~285 ppi density)",Android 4.0.4 (Ice Cream Sandwich),Qualcomm APQ8060 Snapdragon S3,Dual-core 1.5 GHz Scorpion,Adreno 220,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","3.0, A2DP, EDR","Yes, with A-GPS, GLONASS","microUSB 2.0 (MHL TV-out), USB Host","Accelerometer, gyro, proximity, compass, barometer",Removable Li-Ion 2500 mAh battery,0.17 W/kg (head),About 350 EUR,LED flash,Yes,,,,0.19 W/kg (head) 1.13 W/kg (body),,,,,,,,,,,Removable
Galaxy Note I717,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"LTE band 4(1700/2100), 17(700)","HSPA 21.1/5.76 Mbps, LTE","2012, January. Released 2012, January",Discontinued,146.8 x 83 x 9.7 mm (5.78 x 3.27 x 0.38 in),178 g (6.28 oz),,Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.3 inches, 81.4 cm2 (~66.8% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~285 ppi density)","Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich), TouchWiz UI",Qualcomm MSM8660 Snapdragon S3,Dual-core 1.5 GHz Scorpion,Adreno 220,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","3.0, A2DP, EDR","Yes, with A-GPS, GLONASS","microUSB 2.0 (MHL TV-out), USB Host","Accelerometer, gyro, proximity, compass, barometer",Removable Li-Ion 2500 mAh battery,0.16 W/kg (head),About 350 EUR,LED flash,Yes,Corning Gorilla Glass,,,0.41 W/kg (head) 1.43 W/kg (body),,,,,,,,,,,Removable
Galaxy M Style M340S,HSPA,GSM,HSDPA 2100,,HSPA,"2012, January. Released 2012, September",Discontinued,122.5 x 63 x 9.9 mm (4.82 x 2.48 x 0.39 in),123.5 g (4.34 oz),,No,"Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~59.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 2.3 (Gingerbread),,1.0 GHz Cortex-A8,,"microSD, up to 32 GB (dedicated slot)",4 GB,VGA,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1650 mAh battery,0.43 W/kg (head),About 160 EUR,,,,,,0.74 W/kg (head),,,,,,,,,,,Removable
Galaxy Ace Plus S7500,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 7.2/0.384 Mbps,"2012, January. Released 2012, February",Discontinued,114.5 x 62.5 x 11.2 mm (4.51 x 2.46 x 0.44 in),115 g (4.06 oz),,Mini-SIM,"TFT capacitive touchscreen, 16M colors","3.65 inches, 39.7 cm2 (~55.4% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~158 ppi density)","Android 2.3 (Gingerbread), upgradable to 4.1 (Jelly Bean); TouchWiz UI",Qualcomm MSM7227A Snapdragon S1,1.0 GHz Cortex-A5,Adreno 200,"microSD, up to 32 GB (dedicated slot)","3 GB, 512 MB RAM","5 MP, AF",480p@30fps,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1300 mAh battery,0.84 W/kg (head),About 120 EUR,LED flash,,,,,0.49 W/kg (head) 0.60 W/kg (body),,,,,Contrast ratio: 888:1 (nominal),Photo,Noise -88.2dB / Crosstalk -84.1dB,,,,Removable
I929 Galaxy S II Duos,GSM / CDMA / EVDO,GSM 900 / 1800 / 1900,,,EV-DO Rev.A 3.1 Mbps,"2011, December. Released 2012, September",Discontinued,129.8 x 68.9 x 9.7 mm (5.11 x 2.71 x 0.38 in),138 g (4.87 oz),,"Dual SIM (Mini-SIM, dual stand-by)","Super AMOLED Plus capacitive touchscreen, 16M colors","4.52 inches, 58.2 cm2 (~65.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~206 ppi density)",Android 2.3.5 (Gingerbread),Qualcomm MSM8660 Snapdragon S3,Dual-core 1.2 GHz Scorpion,Adreno 220,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP, aptX","Yes, with A-GPS","microUSB 2.0 (MHL TV-out), USB Host","Accelerometer, gyro, proximity, compass",Removable Li-Ion 1800 mAh battery,0.85 W/kg (head),About 190 EUR,LED flash,,Corning Gorilla Glass,,,0.79 W/kg (head) 0.73 W/kg (body),,,,,,,,Yes,Yes,,Removable
Galaxy Y Duos S6102,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 - GT-S6102 (SIM 1 & SIM 2),,HSPA 7.2/0.384 Mbps,"2011, December. Released 2012, February",Discontinued,109.8 x 60 x 12 mm (4.32 x 2.36 x 0.47 in),109 g (3.84 oz),,"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","3.14 inches, 30.5 cm2 (~46.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~127 ppi density)",Android 2.3 (Gingerbread); TouchWiz UI,,832 MHz,,"microSD, up to 32 GB (dedicated slot), 2 GB included",512 MB,3.15 MP,320p@24fps,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1300 mAh battery,0.69 W/kg (head),About 80 EUR,,,,,,0.47 W/kg (head) 0.52 W/kg (body),,,,,Contrast ratio: 842:1 (nominal),Photo,Noise -86.1dB / Crosstalk -82.1dB,,,,Removable
Galaxy Y Pro Duos B5512,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 - GT-B5512,,HSPA 7.2/0.384 Mbps,"2011, December. Released 2012, January",Discontinued,110.8 x 63.5 x 11.9 mm (4.36 x 2.5 x 0.47 in),112.3 g (3.95 oz),,Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 256K colors","2.6 inches, 20.9 cm2 (~29.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~154 ppi density)",Android 2.3 (Gingerbread),,832 MHz,,"microSD, up to 32 GB (dedicated slot), 2 GB included",512 MB,VGA,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1350 mAh battery,0.57 W/kg (head),About 120 EUR,,,,,,0.58 W/kg (head) 1.03 W/kg (body),,,,,,,,,,,Removable
E2600,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2011, November. Released 2011, December",Discontinued,97 x 49.9 x 15.3 mm (3.82 x 1.96 x 0.60 in),88.7 g (3.10 oz),,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~36.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,"microSD, up to 16 GB (dedicated slot)",40 MB,2 MP,Yes,Yes,No,"3.0, A2DP",No,microUSB 2.0,,Removable Li-Ion 800 mAh battery,0.53 W/kg (head),About 70 EUR,,,,,,0.36 W/kg (head) 0.69 W/kg (body),,,,,,,,Yes,Yes,,Removable
M370,CDMA / CDMA2000,CDMA 800 / 1900,CDMA2000 1x,,"Yes, 384 kbps","2012, January. Released 2012, January",Discontinued,96.5 x 50 x 17.8 mm (3.80 x 1.97 x 0.70 in),104.9 g (3.67 oz),,Mini-SIM,TFT,"2.4 inches, 17.8 cm2 (~37.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Qualcomm QSC6055,192 MHz,,No,"128 MB RAM, 256 MB ROM",1.3 MP,Yes,Yes,No,Yes,Yes,Proprietary,,Removable Li-Ion 1000 mAh battery,,About 80 EUR,,,,,,0.75 W/kg (head) 0.71 W/kg (body),,,,,,,,,,,Removable
R680 Repp,CDMA / EVDO,CDMA 800 / 1900,CDMA2000 1xEV-DO,,"EV-DO Rev.0, 153.2 Kbps","2011, November. Released 2011, November",Discontinued,110 x 57 x 12.2 mm (4.33 x 2.24 x 0.48 in),105 g (3.70 oz),,Mini-SIM,TFT capacitive touchscreen,"3.2 inches, 30.5 cm2 (~48.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",Android 2.3 (Gingerbread),,800 MHz,,"microSD, up to 32 GB (dedicated slot), 2 GB included",2 GB,3.15 MP,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP",Yes,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,,About 70 EUR,,,,,,0.98 W/kg (head) 0.95 W/kg (body),,,,,,,,,,,Removable
I110 Illusion,CDMA / EVDO,CDMA 800 / 1900,CDMA2000 1xEV-DO,,EV-DO Rev.A 3.1 Mbps,"2011, November. Released 2011, November",Discontinued,114.4 x 59.9 x 11.7 mm (4.50 x 2.36 x 0.46 in),120 g (4.23 oz),,Mini-SIM,TFT capacitive touchscreen,"3.5 inches, 36.5 cm2 (~53.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 2.3 (Gingerbread),,1.0 GHz Cortex-A8,PowerVR SGX540,"microSD, up to 32 GB (dedicated slot), 2 GB included","2 GB, 512 MB RAM",Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot, DLNA","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,,About 70 EUR,,,,,,0.62 W/kg (head) 0.94 W/kg (body),,,,,,,,,,,Removable
